Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,,Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kansas,Female,65-74 years,23,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kansas,Female,75-84 years,27,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kansas,Female,85 years and over,73,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kansas,Female,All ages,147,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kansas,Unknown,All ages,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kansas Total,All,All Ages,315,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kentucky,Male,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kentucky,Male,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kentucky,Male,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kentucky,Male,15-24 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kentucky,Male,25-34 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kentucky,Male,35-44 years,10,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kentucky,Male,45-54 years,15,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kentucky,Male,55-64 years,39,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kentucky,Male,65-74 years,90,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kentucky,Male,75-84 years,71,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kentucky,Male,85 years and over,70,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kentucky,Male,All ages,297,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kentucky,Female,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kentucky,Female,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kentucky,Female,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kentucky,Female,15-24 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kentucky,Female,25-34 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kentucky,Female,35-44 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kentucky,Female,45-54 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kentucky,Female,55-64 years,28,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kentucky,Female,65-74 years,50,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kentucky,Female,75-84 years,97,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kentucky,Female,85 years and over,174,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kentucky,Female,All ages,359,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kentucky,Unknown,All ages,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Kentucky Total,All,All Ages,656,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Louisiana,Male,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Louisiana,Male,1-4 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Louisiana,Male,5-14 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Louisiana,Male,15-24 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Louisiana,Male,25-34 years,10,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Louisiana,Male,35-44 years,38,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Louisiana,Male,45-54 years,107,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Louisiana,Male,55-64 years,251,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Louisiana,Male,65-74 years,417,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Louisiana,Male,75-84 years,478,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Louisiana,Male,85 years and over,328,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Louisiana,Male,All ages,1634,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Louisiana,Female,Under 1 year,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Louisiana,Female,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Louisiana,Female,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Louisiana,Female,15-24 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Louisiana,Female,25-34 years,13,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Louisiana,Female,35-44 years,32,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Louisiana,Female,45-54 years,61,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Louisiana,Female,55-64 years,176,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Louisiana,Female,65-74 years,269,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Louisiana,Female,75-84 years,418,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Louisiana,Female,85 years and over,484,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Louisiana,Female,All ages,1456,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Louisiana,Unknown,All ages,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Louisiana Total,All,All Ages,3090,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maine,Male,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maine,Male,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maine,Male,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maine,Male,15-24 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maine,Male,25-34 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maine,Male,35-44 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maine,Male,45-54 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maine,Male,55-64 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maine,Male,65-74 years,14,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maine,Male,75-84 years,17,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maine,Male,85 years and over,18,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maine,Male,All ages,59,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maine,Female,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maine,Female,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maine,Female,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maine,Female,15-24 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maine,Female,25-34 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maine,Female,35-44 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maine,Female,45-54 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maine,Female,55-64 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maine,Female,65-74 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maine,Female,75-84 years,22,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maine,Female,85 years and over,36,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maine,Female,All ages,71,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maine,Unknown,All ages,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maine Total,All,All Ages,130,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maryland,Male,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maryland,Male,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maryland,Male,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maryland,Male,15-24 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maryland,Male,25-34 years,27,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maryland,Male,35-44 years,59,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maryland,Male,45-54 years,112,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maryland,Male,55-64 years,284,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maryland,Male,65-74 years,386,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maryland,Male,75-84 years,522,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maryland,Male,85 years and over,442,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maryland,Male,All ages,1836,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maryland,Female,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maryland,Female,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maryland,Female,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maryland,Female,15-24 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maryland,Female,25-34 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maryland,Female,35-44 years,20,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maryland,Female,45-54 years,67,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maryland,Female,55-64 years,156,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maryland,Female,65-74 years,322,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maryland,Female,75-84 years,470,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maryland,Female,85 years and over,740,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maryland,Female,All ages,1786,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maryland,Unknown,All ages,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Maryland Total,All,All Ages,3622,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Massachusetts,Male,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Massachusetts,Male,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Massachusetts,Male,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Massachusetts,Male,15-24 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Massachusetts,Male,25-34 years,10,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Massachusetts,Male,35-44 years,30,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Massachusetts,Male,45-54 years,93,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Massachusetts,Male,55-64 years,326,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Massachusetts,Male,65-74 years,704,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Massachusetts,Male,75-84 years,1116,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Massachusetts,Male,85 years and over,1345,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Massachusetts,Male,All ages,3628,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Massachusetts,Female,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Massachusetts,Female,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Massachusetts,Female,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Massachusetts,Female,15-24 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Massachusetts,Female,25-34 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Massachusetts,Female,35-44 years,13,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Massachusetts,Female,45-54 years,64,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Massachusetts,Female,55-64 years,191,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Massachusetts,Female,65-74 years,476,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Massachusetts,Female,75-84 years,1015,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Massachusetts,Female,85 years and over,2358,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Massachusetts,Female,All ages,4125,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Massachusetts,Unknown,All ages,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Massachusetts Total,All,All Ages,7753,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Michigan,Male,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Michigan,Male,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Michigan,Male,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Michigan,Male,15-24 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Michigan,Male,25-34 years,25,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Michigan,Male,35-44 years,57,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Michigan,Male,45-54 years,197,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Michigan,Male,55-64 years,424,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Michigan,Male,65-74 years,777,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Michigan,Male,75-84 years,809,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Michigan,Male,85 years and over,626,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Michigan,Male,All ages,2917,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Michigan,Female,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Michigan,Female,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Michigan,Female,5-14 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Michigan,Female,15-24 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Michigan,Female,25-34 years,13,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Michigan,Female,35-44 years,31,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Michigan,Female,45-54 years,116,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Michigan,Female,55-64 years,266,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Michigan,Female,65-74 years,554,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Michigan,Female,75-84 years,664,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Michigan,Female,85 years and over,1029,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Michigan,Female,All ages,2678,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Michigan,Unknown,All ages,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Michigan Total,All,All Ages,5596,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Minnesota,Male,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Minnesota,Male,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Minnesota,Male,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Minnesota,Male,15-24 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Minnesota,Male,25-34 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Minnesota,Male,35-44 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Minnesota,Male,45-54 years,23,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Minnesota,Male,55-64 years,75,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Minnesota,Male,65-74 years,135,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Minnesota,Male,75-84 years,217,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Minnesota,Male,85 years and over,259,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Minnesota,Male,All ages,719,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Minnesota,Female,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Minnesota,Female,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Minnesota,Female,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Minnesota,Female,15-24 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Minnesota,Female,25-34 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Minnesota,Female,35-44 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Minnesota,Female,45-54 years,13,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Minnesota,Female,55-64 years,40,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Minnesota,Female,65-74 years,104,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Minnesota,Female,75-84 years,190,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Minnesota,Female,85 years and over,413,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Minnesota,Female,All ages,765,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Minnesota,Unknown,All ages,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Minnesota Total,All,All Ages,1484,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Mississippi,Male,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Mississippi,Male,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Mississippi,Male,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Mississippi,Male,15-24 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Mississippi,Male,25-34 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Mississippi,Male,35-44 years,17,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Mississippi,Male,45-54 years,43,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Mississippi,Male,55-64 years,97,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Mississippi,Male,65-74 years,155,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Mississippi,Male,75-84 years,162,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Mississippi,Male,85 years and over,90,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Mississippi,Male,All ages,570,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Mississippi,Female,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Mississippi,Female,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Mississippi,Female,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Mississippi,Female,15-24 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Mississippi,Female,25-34 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Mississippi,Female,35-44 years,19,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Mississippi,Female,45-54 years,40,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Mississippi,Female,55-64 years,90,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Mississippi,Female,65-74 years,124,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Mississippi,Female,75-84 years,157,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Mississippi,Female,85 years and over,199,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Mississippi,Female,All ages,635,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Mississippi,Unknown,All ages,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Mississippi Total,All,All Ages,1206,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Missouri,Male,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Missouri,Male,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Missouri,Male,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Missouri,Male,15-24 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Missouri,Male,25-34 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Missouri,Male,35-44 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Missouri,Male,45-54 years,24,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Missouri,Male,55-64 years,64,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Missouri,Male,65-74 years,120,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Missouri,Male,75-84 years,149,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Missouri,Male,85 years and over,136,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Missouri,Male,All ages,498,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Missouri,Female,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Missouri,Female,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Missouri,Female,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Missouri,Female,15-24 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Missouri,Female,25-34 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Missouri,Female,35-44 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Missouri,Female,45-54 years,12,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Missouri,Female,55-64 years,39,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Missouri,Female,65-74 years,85,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Missouri,Female,75-84 years,119,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Missouri,Female,85 years and over,253,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Missouri,Female,All ages,518,,,,,,,,,,,,,,,,,,,,,,,,
