Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,,Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alaska,Female,All ages,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alaska,Unknown,All ages,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Alaska Total,All,All Ages,11,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arizona,Male,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arizona,Male,1-4 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arizona,Male,5-14 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arizona,Male,15-24 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arizona,Male,25-34 years,29,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arizona,Male,35-44 years,47,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arizona,Male,45-54 years,109,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arizona,Male,55-64 years,219,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arizona,Male,65-74 years,294,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arizona,Male,75-84 years,378,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arizona,Male,85 years and over,305,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arizona,Male,All ages,1391,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arizona,Female,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arizona,Female,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arizona,Female,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arizona,Female,15-24 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arizona,Female,25-34 years,11,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arizona,Female,35-44 years,26,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arizona,Female,45-54 years,49,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arizona,Female,55-64 years,131,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arizona,Female,65-74 years,221,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arizona,Female,75-84 years,278,,,,,,,,,,,,,,,,,,,,,,,,
