Population,Median Household Income,Per Capita Income,Zipcode,Population density
1536.0,78696.0,38304.0,01072,4.707694526872348e-06
6140.0,93854.0,46378.0,01073,1.8818518486325663e-05
548.0,64840.0,19979.0,01074,1.67956809943102e-06
17763.0,65898.0,32510.0,01075,5.444191268283432e-05
9727.0,77734.0,38181.0,01077,2.9812333764900604e-05
658.0,31875.0,33286.0,01079,2.016707681433597e-06
2802.0,58139.0,24455.0,01080,8.587864625192915e-06
1941.0,54647.0,27940.0,01081,5.948981169700018e-06
10586.0,54107.0,30050.0,01082,3.244508740981164e-05
2986.0,70288.0,28374.0,01083,9.151807198724499e-06
174.0,83750.0,48133.0,01084,5.332935206222582e-07
41942.0,64026.0,31563.0,01085,0.00012854825771229167
372.0,-666666666.0,2380.0,01086,1.1401447682268967e-06
416.0,47232.0,29031.0,01088,1.2750006010279276e-06
28666.0,51472.0,31135.0,01089,8.785857506987156e-05
1425.0,79907.0,34723.0,01092,4.367490039578839e-06
283.0,89643.0,56122.0,01093,8.673681973339026e-07
282.0,25104.0,29900.0,01094,8.643032920429701e-07
14690.0,107361.0,48112.0,01095,4.502345872379869e-05
2695.0,83080.0,41671.0,01096,8.259919759063137e-06
59.0,-666666666.0,13193.0,01097,1.8082941216501856e-07
1196.0,78393.0,42880.0,01098,3.6656267279552916e-06
2389.0,18338.0,22689.0,01103,7.322058740037786e-06
23876.0,31113.0,20132.0,01104,7.317767872630481e-05
11957.0,19921.0,13698.0,01105,3.664707256368012e-05
16022.0,111545.0,55368.0,01106,4.910591257132081e-05
11582.0,27131.0,14816.0,01107,3.549773307958043e-05
27850.0,40915.0,20693.0,01108,8.535761235247063e-05
29903.0,34329.0,15676.0,01109,9.164986291475509e-05
14980.0,61786.0,30775.0,01118,4.591228125816912e-05
13626.0,44091.0,23094.0,01119,4.176239949424649e-05
2672.0,61875.0,35170.0,01128,8.189426937371689e-06
6762.0,61645.0,30704.0,01129,2.0724889577285688e-05
8807.0,41002.0,19779.0,01151,2.6992620897242686e-05
0.0,-666666666.0,-666666666.0,01199,0.0
44607.0,49385.0,30842.0,01201,0.00013671623031262685
8209.0,49301.0,30236.0,01220,2.515980753326504e-05
810.0,69432.0,31715.0,01222,2.48257328565534e-06
2402.0,75852.0,40909.0,01223,7.361902508819908e-06
210.0,37576.0,20493.0,01224,6.436301110958288e-07
3135.0,68264.0,35138.0,01225,9.608478087073445e-06
6782.0,59875.0,38626.0,01226,2.078618768310434e-05
70.0,-666666666.0,20554.0,01229,2.1454337036527627e-07
8542.0,67674.0,36918.0,01230,2.618042099514557e-05
2640.0,66581.0,37383.0,01235,8.091349968061849e-06
1140.0,65833.0,42085.0,01236,3.493992031663071e-06
2580.0,78194.0,35028.0,01237,7.907455650605897e-06
5903.0,72744.0,35471.0,01238,1.8092135932374656e-05
4441.0,72766.0,51233.0,01240,1.3611244397031313e-05
471.0,85789.0,30883.0,01242,1.443570392029216e-06
257.0,69167.0,53718.0,01243,7.876806597696572e-07
74.0,55417.0,35831.0,01244,2.2680299152900634e-07
809.0,75167.0,57522.0,01245,2.479508380364407e-06
15573.0,41807.0,25850.0,01247,4.772977009569211e-05
672.0,77375.0,49644.0,01253,2.059616355506652e-06
1014.0,85313.0,66893.0,01254,3.1078139650055733e-06
972.0,69135.0,36314.0,01255,2.9790879427864075e-06
719.0,60197.0,32142.0,01256,2.2036669041804807e-06
2003.0,94625.0,53890.0,01257,6.1390052977378335e-06
489.0,67500.0,40856.0,01258,1.4987386872660014e-06
528.0,60625.0,60222.0,01259,1.6182699936123696e-06
481.0,115208.0,30861.0,01260,1.4742194449385413e-06
1066.0,31144.0,38441.0,01262,3.2671890401340644e-06
196.0,66875.0,47234.0,01264,6.007214370227735e-07
1369.0,71989.0,43944.0,01266,4.1958553432866176e-06
7955.0,82863.0,34865.0,01267,2.438132158936818e-05
770.0,83333.0,48451.0,01270,2.359977074018039e-06
17713.0,49312.0,30160.0,01301,5.4288667418287696e-05
1367.0,71346.0,42015.0,01330,4.189725532704752e-06
13383.0,57164.0,27847.0,01331,4.101762750854989e-05
2498.0,67470.0,36024.0,01337,7.65613341674943e-06
127.0,60625.0,25494.0,01338,3.892429719484298e-07
1428.0,61500.0,31493.0,01339,4.376684755451636e-06
1808.0,55980.0,30308.0,01340,5.541348766005993e-06
1836.0,100417.0,51754.0,01341,5.627166114152103e-06
1439.0,77202.0,34530.0,01342,4.4103987136518935e-06
45.0,76250.0,36273.0,01343,1.379207380919633e-07
1459.0,61359.0,29002.0,01344,4.471696819470544e-06
427.0,63036.0,32336.0,01346,1.3087145592281852e-06
175.0,54250.0,31898.0,01347,5.363584259131907e-07
1292.0,64219.0,27235.0,01349,3.959857635884814e-06
91.0,26458.0,23018.0,01350,2.7890638147485917e-07
2099.0,78849.0,40029.0,01351,6.433236205667356e-06
1608.0,67083.0,39175.0,01354,4.928367707819489e-06
949.0,68250.0,36064.0,01355,2.9085951210949596e-06
2997.0,72083.0,37542.0,01360,9.185521156924757e-06
7785.0,46405.0,26454.0,01364,2.3860287689909654e-05
1269.0,68405.0,35561.0,01366,3.889364814193366e-06
595.0,54500.0,26574.0,01367,1.8236186481048484e-06
1170.0,72083.0,35724.0,01368,3.5859391903910462e-06
4041.0,57083.0,38985.0,01370,1.2385282280658306e-05
4634.0,73639.0,43746.0,01373,1.4202771118181289e-05
3659.0,61102.0,37502.0,01375,1.1214488459522084e-05
5123.0,41496.0,27775.0,01376,1.5701509805447292e-05
773.0,56250.0,30362.0,01378,2.3691717898908366e-06
830.0,44531.0,32988.0,01379,2.54387139147399e-06
40737.0,55277.0,26190.0,01420,0.00012485504683671799
6253.0,97561.0,37771.0,01430,1.9164852784201035e-05
3215.0,101357.0,37829.0,01431,9.853670510348045e-06
7762.0,91156.0,46314.0,01432,2.3789794868218204e-05
1875.0,66477.0,19659.0,01434,5.746697420498471e-06
3392.0,58458.0,31615.0,01436,1.03961587468431e-05
711.0,117917.0,31356.0,01438,2.1791476618530202e-06
20555.0,50239.0,27491.0,01440,6.299912825511791e-05
11301.0,126883.0,54498.0,01450,3.4636494692828386e-05
4625.0,155515.0,68615.0,01451,1.4175186970562897e-05
4642.0,95530.0,39958.0,01452,1.422729036050875e-05
41579.0,58205.0,32012.0,01453,0.00012743569709168317
9935.0,120638.0,52392.0,01460,3.0449834065414566e-05
11271.0,101510.0,43112.0,01462,3.454454753410041e-05
12083.0,96750.0,43882.0,01463,3.703325063033762e-05
7598.0,70542.0,32353.0,01464,2.328715040050527e-05
363.0,96806.0,51738.0,01467,1.112560620608504e-06
4024.0,70438.0,39850.0,01468,1.2333178890712453e-05
7632.0,83602.0,37414.0,01469,2.3391357180396978e-05
7665.0,98714.0,42700.0,01473,2.349249905499775e-05
1823.0,96750.0,52482.0,01474,5.5873223453699805e-06
10798.0,71895.0,31098.0,01475,3.309484733148933e-05
16549.0,83441.0,41138.0,01501,5.072111765964224e-05
3144.0,104063.0,48666.0,01503,9.636062234691837e-06
9246.0,86513.0,37798.0,01504,2.833811431996206e-05
4581.0,98520.0,46857.0,01505,1.4040331137761865e-05
3431.0,68125.0,39360.0,01506,1.051569005318947e-05
13482.0,97805.0,41064.0,01507,4.132105313235221e-05
13899.0,66094.0,34020.0,01510,4.259911863867107e-05
2159.0,84444.0,34737.0,01515,6.617130523123306e-06
8794.0,95567.0,37792.0,01516,2.6952777128460564e-05
3919.0,64732.0,37429.0,01518,1.2011363835164539e-05
6741.0,106644.0,47808.0,01519,2.0660526566176105e-05
15645.0,105772.0,45766.0,01520,4.7950443276639245e-05
2539.0,81680.0,36563.0,01521,7.781794533677663e-06
3176.0,101089.0,47005.0,01522,9.734139204001677e-06
7749.0,103857.0,35596.0,01523,2.374995109943608e-05
6902.0,71645.0,34491.0,01524,2.1153976318016242e-05
400.0,40888.0,21424.0,01525,1.2259621163730073e-06
13630.0,81804.0,41066.0,01527,4.1774659115410224e-05
3242.0,78704.0,38029.0,01529,9.936422953203224e-06
1298.0,89167.0,38908.0,01531,3.9782470676304085e-06
14985.0,113608.0,56781.0,01532,4.592760578462379e-05
6311.0,92181.0,43207.0,01534,1.9342617291075124e-05
4764.0,73599.0,33347.0,01535,1.4601208806002516e-05
7786.0,108175.0,47821.0,01536,2.3863352595200587e-05
2289.0,76389.0,33483.0,01537,7.015568210944534e-06
11484.0,68750.0,32791.0,01540,3.519737236106904e-05
3443.0,134191.0,61008.0,01541,1.055246891668066e-05
2314.0,107806.0,39537.0,01542,7.092190843217847e-06
8586.0,104050.0,39299.0,01543,2.63152768279466e-05
36666.0,106108.0,47333.0,01545,0.00011237781739733172
16894.0,50787.0,26662.0,01550,5.177850998501396e-05
4401.0,79583.0,44313.0,01560,1.3488648185394012e-05
294.0,-666666666.0,34694.0,01561,9.010821555341604e-07
11913.0,71830.0,33055.0,01562,3.651221673087909e-05
8052.0,107348.0,48371.0,01564,2.4678617402588635e-05
5618.0,100600.0,48136.0,01566,1.7218637924458887e-05
7762.0,123942.0,50072.0,01568,2.3789794868218204e-05
13939.0,101266.0,38532.0,01569,4.272171485030837e-05
16971.0,57924.0,30919.0,01570,5.2014507692415764e-05
11682.0,67117.0,30831.0,01571,3.5804223608673676e-05
18982.0,108767.0,50853.0,01581,5.817803223248106e-05
7676.0,79375.0,30559.0,01583,2.352621301319801e-05
4574.0,68578.0,36273.0,01585,1.4018876800725337e-05
9775.0,75495.0,34008.0,01588,2.9959449218865366e-05
9385.0,102439.0,46409.0,01590,2.8764136155401682e-05
23854.0,61710.0,34241.0,01602,7.311025080990428e-05
19336.0,38701.0,23165.0,01603,5.926300870547117e-05
37468.0,53270.0,28104.0,01604,0.00011483587144065959
28820.0,37857.0,21630.0,01605,8.833057048467517e-05
19729.0,66130.0,34799.0,01606,6.046751648480765e-05
8583.0,46974.0,25738.0,01607,2.6306082112073802e-05
3639.0,24181.0,16892.0,01608,1.1153190353703433e-05
21142.0,44943.0,31983.0,01609,6.47982276608953e-05
23040.0,34005.0,17590.0,01610,7.061541790308521e-05
2241.0,92898.0,37807.0,01611,6.868452756979773e-06
4870.0,99875.0,43782.0,01612,1.4926088766841363e-05
32570.0,111169.0,53652.0,01701,9.982396532567212e-05
39149.0,57186.0,30787.0,01702,0.00011998797723471715
813.0,164402.0,50641.0,01718,2.491768001528137e-06
5794.0,108207.0,55571.0,01719,1.775806125566301e-05
22684.0,137147.0,62794.0,01720,6.952431161951324e-05
17576.0,121406.0,52652.0,01721,5.386877539342994e-05
14053.0,129726.0,61653.0,01730,4.307111405347468e-05
2061.0,97305.0,28812.0,01731,6.31676980461192e-06
5236.0,155093.0,56557.0,01740,1.6047844103322664e-05
5186.0,171625.0,85227.0,01741,1.589459883877604e-05
19350.0,141068.0,69472.0,01742,5.9305917379544226e-05
588.0,125139.0,44785.0,01745,1.8021643110683207e-06
14634.0,125625.0,57253.0,01746,4.485182402750647e-05
5951.0,107550.0,42756.0,01747,1.8239251386339414e-05
17178.0,166156.0,66704.0,01748,5.26489430876388e-05
19868.0,87806.0,41888.0,01749,6.0893538320247273e-05
39776.0,79228.0,40677.0,01752,0.00012190967285213184
