Active,Confirmed,Date,Deaths,Fatality Rate,Recovered,State,State Abbr,Lat,Lon
1433,1504,2020-04-15,71,0.0472,0,Kansas,KS,38.5266,-96.7265
2095,2210,2020-04-15,115,0.052,0,Kentucky,KY,37.6681,-84.6701
20848,21951,2020-04-15,1103,0.0502,0,Louisiana,LA,31.1695,-91.8678
746,770,2020-04-15,24,0.0312,0,Maine,ME,44.6939,-69.3819
9721,10032,2020-04-15,311,0.031,0,Maryland,MD,39.0639,-76.8021
28810,29918,2020-04-15,1108,0.037,0,Massachusetts,MA,42.2302,-71.5301
26138,28059,2020-04-15,1921,0.0685,0,Michigan,MI,43.3266,-84.5361
1722,1809,2020-04-15,87,0.0481,0,Minnesota,MN,45.6945,-93.9002
3238,3360,2020-04-15,122,0.0363,0,Mississippi,MS,32.7416,-89.6787
4638,4791,2020-04-15,153,0.0319,0,Missouri,MO,38.4561,-92.2884
397,404,2020-04-15,7,0.0173,0,Montana,MT,46.9219,-110.4544
881,901,2020-04-15,20,0.0222,0,Nebraska,NE,41.1254,-98.2681
3080,3211,2020-04-15,131,0.0408,0,Nevada,NV,38.3135,-117.0554
1107,1139,2020-04-15,32,0.0281,0,New Hampshire,NH,43.4525,-71.5639
67874,71030,2020-04-15,3156,0.0444,0,New Jersey,NJ,40.2989,-74.5210
1448,1484,2020-04-15,36,0.0243,0,New Mexico,NM,34.8405,-106.2485
202837,214454,2020-04-15,11617,0.0542,0,New York,NY,42.1657,-74.9481
5210,5340,2020-04-15,130,0.0243,0,North Carolina,NC,35.6301,-79.8064
356,365,2020-04-15,9,0.0247,0,North Dakota,ND,47.5289,-99.7840
7432,7794,2020-04-15,362,0.0464,0,Ohio,OH,40.3888,-82.7649
2140,2263,2020-04-15,123,0.0544,0,Oklahoma,OK,35.5653,-96.9289
1605,1663,2020-04-15,58,0.0349,0,Oregon,OR,44.5720,-122.0709
25974,26753,2020-04-15,779,0.0291,0,Pennsylvania,PA,40.5908,-77.2098
3171,3251,2020-04-15,80,0.0246,0,Rhode Island,RI,41.6809,-71.5118
3550,3656,2020-04-15,106,0.029,0,South Carolina,SC,33.8569,-80.9450
