Zip Code,State,County,Median Household Income,Land Area in Square Miles
01331,MA,Worcester County,50498.0,53.22
01337,MA,Franklin County,58875.0,37.22
01338,MA,Franklin County,69886.0,3.45
01339,MA,Franklin County,50536.0,54.98
01340,MA,Franklin County,49886.0,44.18
01341,MA,Franklin County,77500.0,35.69
01342,MA,Franklin County,99675.0,17.83
01343,MA,Berkshire County,81806.0,4.87
01344,MA,Franklin County,57500.0,13.63
01346,MA,Franklin County,65000.0,21.0
01347,MA,Franklin County,31250.0,0.58
01349,MA,Franklin County,50714.0,7.67
01350,MA,Franklin County,36875.0,10.72
01351,MA,Franklin County,70799.0,20.93
01354,MA,Franklin County,74583.0,13.76
01355,MA,Franklin County,68929.0,47.38
01360,MA,Franklin County,60608.0,34.28
01364,MA,Franklin County,45758.0,39.23
01366,MA,Worcester County,76094.0,40.41
01367,MA,Franklin County,47279.0,26.54
01368,MA,Worcester County,60750.0,41.84
01370,MA,Franklin County,53516.0,49.82
01373,MA,Franklin County,64127.0,24.16
01375,MA,Franklin County,47000.0,14.23
01376,MA,Franklin County,39792.0,2.76
01378,MA,Franklin County,56094.0,34.02
01379,MA,Franklin County,48188.0,30.21
01420,MA,Worcester County,45363.0,30.32
01430,MA,Worcester County,83532.0,36.99
01431,MA,Middlesex County,82778.0,23.7
01432,MA,Middlesex County,57543.0,8.45
01434,MA,Worcester County,77396.0,5.28
01436,MA,Worcester County,69076.0,9.59
01438,MA,Worcester County,62422.0,0.54
01440,MA,Worcester County,49067.0,24.04
01450,MA,Middlesex County,117127.0,32.76
01451,MA,Worcester County,136058.0,19.13
01452,MA,Worcester County,86979.0,41.07
01453,MA,Worcester County,58896.0,28.47
01460,MA,Middlesex County,105455.0,16.52
01462,MA,Worcester County,76063.0,26.48
01463,MA,Middlesex County,81193.0,22.6
01464,MA,Middlesex County,65882.0,15.01
01467,MA,Worcester County,181810.0,1.9
01468,MA,Worcester County,62096.0,21.4
01469,MA,Middlesex County,78985.0,22.88
01473,MA,Worcester County,83840.0,35.43
01474,MA,Middlesex County,90521.0,9.92
01475,MA,Worcester County,58288.0,42.85
01501,MA,Worcester County,73612.0,15.45
01503,MA,Worcester County,95962.0,12.97
01504,MA,Worcester County,74294.0,11.08
01505,MA,Worcester County,97938.0,16.06
01506,MA,Worcester County,61800.0,15.55
01507,MA,Worcester County,93963.0,42.18
01510,MA,Worcester County,64723.0,5.65
01515,MA,Worcester County,66042.0,9.85
01516,MA,Worcester County,82831.0,36.76
01518,MA,Worcester County,61719.0,8.87
01519,MA,Worcester County,102300.0,10.91
01520,MA,Worcester County,96780.0,18.08
01521,MA,Hampden County,67684.0,12.29
01522,MA,Worcester County,93238.0,16.38
01523,MA,Worcester County,78283.0,25.2
01524,MA,Worcester County,68899.0,15.98
01525,MA,Worcester County,44857.0,0.45
01527,MA,Worcester County,71832.0,15.57
01529,MA,Worcester County,82083.0,4.91
01531,MA,Worcester County,82569.0,20.79
01532,MA,Worcester County,108415.0,18.48
01534,MA,Worcester County,85000.0,8.76
01535,MA,Worcester County,54439.0,21.27
01536,MA,Worcester County,76063.0,8.34
01537,MA,Worcester County,72607.0,6.98
01540,MA,Worcester County,68986.0,19.35
01541,MA,Worcester County,120607.0,35.41
01542,MA,Worcester County,74273.0,4.03
01543,MA,Worcester County,86482.0,35.1
01545,MA,Worcester County,92360.0,20.74
01550,MA,Worcester County,42471.0,20.28
01560,MA,Worcester County,81667.0,3.57
01561,MA,Worcester County,19637.0,0.12
01562,MA,Worcester County,60197.0,32.83
01564,MA,Worcester County,98872.0,30.63
01566,MA,Worcester County,82750.0,28.35
01568,MA,Worcester County,105208.0,21.44
01569,MA,Worcester County,86164.0,29.08
01570,MA,Worcester County,47885.0,12.37
01571,MA,Worcester County,70590.0,20.82
01581,MA,Worcester County,100905.0,20.58
01583,MA,Worcester County,72107.0,12.61
01585,MA,Worcester County,62667.0,25.55
01588,MA,Worcester County,62649.0,8.61
01590,MA,Worcester County,110658.0,32.01
01602,MA,Worcester County,62832.0,5.77
01603,MA,Worcester County,48183.0,4.51
01604,MA,Worcester County,49797.0,6.44
01605,MA,Worcester County,37705.0,5.64
01606,MA,Worcester County,66912.0,5.93
01607,MA,Worcester County,45152.0,3.17
01608,MA,Worcester County,19418.0,0.45
01609,MA,Worcester County,40660.0,3.82
01610,MA,Worcester County,30532.0,2.13
01611,MA,Worcester County,67179.0,3.44
01612,MA,Worcester County,106708.0,15.32
01701,MA,Middlesex County,86994.0,16.96
01702,MA,Middlesex County,53944.0,8.09
01718,MA,Middlesex County,132981.0,0.05
01719,MA,Middlesex County,101502.0,10.29
01720,MA,Middlesex County,109578.0,19.71
01721,MA,Middlesex County,93233.0,12.33
01730,MA,Middlesex County,108818.0,13.7
01731,MA,Middlesex County,75446.0,0.79
01740,MA,Worcester County,146029.0,19.95
01741,MA,Middlesex County,160034.0,15.26
01742,MA,Middlesex County,135217.0,24.44
01745,MA,Worcester County,57250.0,0.4
01746,MA,Middlesex County,110323.0,18.64
01747,MA,Worcester County,89408.0,5.17
01748,MA,Middlesex County,129578.0,26.26
01749,MA,Middlesex County,71971.0,11.52
01752,MA,Middlesex County,70304.0,20.87
01754,MA,Middlesex County,77622.0,5.21
01756,MA,Worcester County,105389.0,17.77
01757,MA,Worcester County,66547.0,14.88
01760,MA,Middlesex County,95328.0,14.81
01770,MA,Middlesex County,153444.0,15.82
01772,MA,Worcester County,150129.0,13.62
01773,MA,Middlesex County,149539.0,13.62
01775,MA,Middlesex County,115714.0,17.31
01776,MA,Middlesex County,170924.0,24.24
01778,MA,Middlesex County,130022.0,15.21
01801,MA,Middlesex County,75138.0,12.65
01803,MA,Middlesex County,94272.0,11.7
01810,MA,Essex County,112681.0,30.85
01821,MA,Middlesex County,87996.0,16.57
01824,MA,Middlesex County,104538.0,17.75
01826,MA,Middlesex County,78169.0,20.63
01827,MA,Middlesex County,119022.0,16.46
01830,MA,Essex County,55255.0,13.8
01832,MA,Essex County,57833.0,11.36
01833,MA,Essex County,107775.0,12.86
01834,MA,Essex County,97463.0,8.88
01835,MA,Essex County,72228.0,7.81
01840,MA,Essex County,18261.0,0.5
01841,MA,Essex County,31214.0,3.09
01843,MA,Essex County,42891.0,3.37
01844,MA,Essex County,67556.0,22.22
01845,MA,Essex County,96002.0,26.31
01850,MA,Middlesex County,51538.0,1.36
01851,MA,Middlesex County,51630.0,3.34
01852,MA,Middlesex County,48951.0,4.95
01854,MA,Middlesex County,42947.0,3.93
01860,MA,Essex County,79423.0,8.46
01862,MA,Middlesex County,85497.0,9.24
01863,MA,Middlesex County,81160.0,4.62
01864,MA,Middlesex County,110852.0,13.14
01867,MA,Middlesex County,105524.0,9.94
01876,MA,Middlesex County,90897.0,20.46
01879,MA,Middlesex County,90987.0,16.78
01880,MA,Middlesex County,84556.0,6.91
01886,MA,Middlesex County,124464.0,30.27
01887,MA,Middlesex County,99508.0,16.98
01890,MA,Middlesex County,131000.0,6.03
01901,MA,Essex County,23467.0,0.25
01902,MA,Essex County,37275.0,2.4
01904,MA,Essex County,80903.0,4.52
01905,MA,Essex County,42490.0,3.56
01906,MA,Essex County,76339.0,10.8
01907,MA,Essex County,92399.0,3.04
01908,MA,Essex County,66964.0,1.05
01913,MA,Essex County,78486.0,12.26
01915,MA,Essex County,70563.0,15.09
01921,MA,Essex County,125833.0,23.56
01922,MA,Essex County,109301.0,9.59
01923,MA,Essex County,79478.0,13.2
01929,MA,Essex County,74211.0,13.97
01930,MA,Essex County,61449.0,26.2
01937,MA,Essex County,,0.07
01938,MA,Essex County,77087.0,30.43
01940,MA,Essex County,106239.0,10.55
01944,MA,Essex County,115650.0,9.23
01945,MA,Essex County,98399.0,4.39
01949,MA,Essex County,104245.0,13.46
01950,MA,Essex County,78638.0,8.35
01951,MA,Essex County,81106.0,13.77
01952,MA,Essex County,72131.0,15.43
01960,MA,Essex County,64430.0,16.0
01966,MA,Essex County,66402.0,6.99
01969,MA,Essex County,83237.0,17.49
01970,MA,Essex County,55698.0,8.11
01982,MA,Essex County,105865.0,14.18
01983,MA,Essex County,111696.0,11.92
01984,MA,Essex County,127606.0,7.66
01985,MA,Essex County,111652.0,13.45
02019,MA,Norfolk County,80179.0,18.35
02021,MA,Norfolk County,89900.0,18.8
02025,MA,Norfolk County,117829.0,9.79
02026,MA,Norfolk County,84704.0,10.24
02030,MA,Norfolk County,187829.0,15.12
02032,MA,Norfolk County,77955.0,2.34
02035,MA,Norfolk County,91601.0,19.85
02038,MA,Norfolk County,99194.0,26.63
02043,MA,Plymouth County,106854.0,22.15
02045,MA,Plymouth County,75551.0,2.66
02047,MA,Plymouth County,,0.24
02048,MA,Bristol County,93539.0,20.09
02050,MA,Plymouth County,91764.0,29.08
02052,MA,Norfolk County,133931.0,14.4
02053,MA,Norfolk County,106132.0,11.54
02054,MA,Norfolk County,91341.0,12.02
02056,MA,Norfolk County,134104.0,14.87
02061,MA,Plymouth County,113944.0,20.94
02062,MA,Norfolk County,75957.0,10.36
02066,MA,Plymouth County,100833.0,16.92
02067,MA,Norfolk County,125313.0,22.67
02071,MA,Norfolk County,97813.0,0.97
02072,MA,Norfolk County,74262.0,16.09
02081,MA,Norfolk County,93416.0,17.92
02090,MA,Norfolk County,128984.0,10.89
02093,MA,Norfolk County,100574.0,21.71
02108,MA,Suffolk County,96921.0,0.14
02109,MA,Suffolk County,119196.0,0.17
02110,MA,Suffolk County,111250.0,0.19
02111,MA,Suffolk County,43551.0,0.26
02113,MA,Suffolk County,66636.0,0.1
02114,MA,Suffolk County,80500.0,0.45
02115,MA,Suffolk County,27134.0,0.71
