Active,Confirmed,Date,Deaths,Fatality Rate,Recovered,State Name,State,Land Area (mi2),Population,Population Density,Per Capita Income,Median Household Income
1262,1318,2020-07-15,56,0.0425,0,Vermont,VT,9206.260000000002,617996.0,67.12780216939342,33532.26928006006,58542.0
44,45,2020-03-15,1,0.0222,0,Virginia,VA,38772.87,8377699.0,216.0711600663041,37858.89366328392,56390.0
1449,1483,2020-04-01,34,0.0229,0,Virginia,VA,38772.87,8377699.0,216.0711600663041,37858.89366328392,56390.0
6305,6500,2020-04-15,195,0.03,0,Virginia,VA,38772.87,8377699.0,216.0711600663041,37858.89366328392,56390.0
16321,16902,2020-05-01,581,0.0344,0,Virginia,VA,38772.87,8377699.0,216.0711600663041,37858.89366328392,56390.0
27694,28672,2020-05-15,978,0.0341,0,Virginia,VA,38772.87,8377699.0,216.0711600663041,37858.89366328392,56390.0
44006,45398,2020-06-01,1392,0.0307,0,Virginia,VA,38772.87,8377699.0,216.0711600663041,37858.89366328392,56390.0
53334,54886,2020-06-15,1552,0.0283,0,Virginia,VA,38772.87,8377699.0,216.0711600663041,37858.89366328392,56390.0
61417,63203,2020-07-01,1786,0.0283,0,Virginia,VA,38772.87,8377699.0,216.0711600663041,37858.89366328392,56390.0
71535,73527,2020-07-15,1992,0.0271,0,Virginia,VA,38772.87,8377699.0,216.0711600663041,37858.89366328392,56390.0
602,643,2020-03-15,40,0.0622,1,Washington,WA,58254.78000000005,7279616.0,124.9616941305073,36916.01159552921,60273.5
5374,5608,2020-04-01,234,0.0417,0,Washington,WA,58254.78000000005,7279616.0,124.9616941305073,36916.01159552921,60273.5
10390,10942,2020-04-15,552,0.0504,0,Washington,WA,58254.78000000005,7279616.0,124.9616941305073,36916.01159552921,60273.5
13813,14637,2020-05-01,824,0.0563,0,Washington,WA,58254.78000000005,7279616.0,124.9616941305073,36916.01159552921,60273.5
16960,17951,2020-05-15,991,0.0552,0,Washington,WA,58254.78000000005,7279616.0,124.9616941305073,36916.01159552921,60273.5
20854,21977,2020-06-01,1123,0.0511,0,Washington,WA,58254.78000000005,7279616.0,124.9616941305073,36916.01159552921,60273.5
24938,26158,2020-06-15,1220,0.0466,0,Washington,WA,58254.78000000005,7279616.0,124.9616941305073,36916.01159552921,60273.5
32096,33435,2020-07-01,1339,0.04,0,Washington,WA,58254.78000000005,7279616.0,124.9616941305073,36916.01159552921,60273.5
41625,43046,2020-07-15,1421,0.033,0,Washington,WA,58254.78000000005,7279616.0,124.9616941305073,36916.01159552921,60273.5
0,0,2020-03-15,0,0.0,0,West Virginia,WV,22404.97,1796714.0,80.19265368353537,25582.07606998109,41738.0
190,191,2020-04-01,1,0.0052,0,West Virginia,WV,22404.97,1796714.0,80.19265368353537,25582.07606998109,41738.0
692,702,2020-04-15,10,0.0142,0,West Virginia,WV,22404.97,1796714.0,80.19265368353537,25582.07606998109,41738.0
1106,1152,2020-05-01,46,0.0399,0,West Virginia,WV,22404.97,1796714.0,80.19265368353537,25582.07606998109,41738.0
1383,1447,2020-05-15,64,0.0442,0,West Virginia,WV,22404.97,1796714.0,80.19265368353537,25582.07606998109,41738.0
1952,2028,2020-06-01,76,0.0375,0,West Virginia,WV,22404.97,1796714.0,80.19265368353537,25582.07606998109,41738.0
2234,2322,2020-06-15,88,0.0379,0,West Virginia,WV,22404.97,1796714.0,80.19265368353537,25582.07606998109,41738.0
2886,2979,2020-07-01,93,0.0312,0,West Virginia,WV,22404.97,1796714.0,80.19265368353537,25582.07606998109,41738.0
4459,4557,2020-07-15,98,0.0215,0,West Virginia,WV,22404.97,1796714.0,80.19265368353537,25582.07606998109,41738.0
31,32,2020-03-15,0,0.0,1,Wisconsin,WI,53619.25000000004,5776045.0,107.72334562680372,32027.559618735653,56928.0
1529,1556,2020-04-01,27,0.0174,0,Wisconsin,WI,53619.25000000004,5776045.0,107.72334562680372,32027.559618735653,56928.0
