Active,Confirmed,Date,Deaths,Fatality Rate,Recovered,State,State Abbr
15532,15907,2020-04-15,375,0.0236,0,Texas,TX
2528,2548,2020-04-15,20,0.0078,0,Utah,UT
730,759,2020-04-15,29,0.0382,0,Vermont,VT
6305,6500,2020-04-15,195,0.03,0,Virginia,VA
10390,10942,2020-04-15,552,0.0504,0,Washington,WA
692,702,2020-04-15,10,0.0142,0,West Virginia,WV
3538,3721,2020-04-15,183,0.0492,0,Wisconsin,WI
286,287,2020-04-15,1,0.0035,0,Wyoming,WY
7005,7294,2020-05-01,289,0.0396,0,Alabama,AL
355,364,2020-05-01,9,0.0247,0,Alaska,AK
7639,7969,2020-05-01,330,0.0414,0,Arizona,AZ
3273,3337,2020-05-01,64,0.0192,0,Arkansas,AR
49900,52026,2020-05-01,2126,0.0409,0,California,CA
14972,15793,2020-05-01,821,0.052,0,Colorado,CO
26425,28764,2020-05-01,2339,0.0813,0,Connecticut,CT
4759,4918,2020-05-01,159,0.0323,0,Delaware,DE
33414,34728,2020-05-01,1314,0.0378,0,Florida,FL
26320,27489,2020-05-01,1169,0.0425,0,Georgia,GA
603,619,2020-05-01,16,0.0258,0,Hawaii,HI
1952,2015,2020-05-01,63,0.0313,0,Idaho,ID
53598,56055,2020-05-01,2457,0.0438,0,Illinois,IL
17455,18630,2020-05-01,1175,0.0631,0,Indiana,IN
7714,7884,2020-05-01,170,0.0216,0,Iowa,IA
4494,4634,2020-05-01,140,0.0302,0,Kansas,KS
4636,4882,2020-05-01,246,0.0504,0,Kentucky,KY
26741,28711,2020-05-01,1970,0.0686,0,Louisiana,LA
1068,1123,2020-05-01,55,0.049,0,Maine,ME
22392,23472,2020-05-01,1080,0.046,0,Maryland,MD
60595,64311,2020-05-01,3716,0.0578,0,Massachusetts,MA
38490,42356,2020-05-01,3866,0.0913,0,Michigan,MI
5360,5730,2020-05-01,370,0.0646,0,Minnesota,MN
6931,7212,2020-05-01,281,0.039,0,Mississippi,MS
7707,8067,2020-05-01,360,0.0446,0,Missouri,MO
437,453,2020-05-01,16,0.0353,0,Montana,MT
4935,5008,2020-05-01,73,0.0146,0,Nebraska,NE
5002,5248,2020-05-01,246,0.0469,0,Nevada,NV
2229,2310,2020-05-01,81,0.0351,0,New Hampshire,NH
113652,121190,2020-05-01,7538,0.0622,0,New Jersey,NJ
3382,3513,2020-05-01,131,0.0373,0,New Mexico,NM
284275,308314,2020-05-01,24039,0.078,0,New York,NY
10651,11070,2020-05-01,419,0.0379,0,North Carolina,NC
1084,1107,2020-05-01,23,0.0208,0,North Dakota,ND
17740,18743,2020-05-01,1003,0.0535,0,Ohio,OH
3518,3748,2020-05-01,230,0.0614,0,Oklahoma,OK
2475,2579,2020-05-01,104,0.0403,0,Oregon,OR
46944,49579,2020-05-01,2635,0.0531,0,Pennsylvania,PA
8683,8962,2020-05-01,279,0.0311,0,Rhode Island,RI
6002,6258,2020-05-01,256,0.0409,0,South Carolina,SC
2504,2525,2020-05-01,21,0.0083,0,South Dakota,SD
11687,11891,2020-05-01,204,0.0172,0,Tennessee,TN
28852,29692,2020-05-01,840,0.0283,0,Texas,TX
4782,4828,2020-05-01,46,0.0095,0,Utah,UT
829,879,2020-05-01,50,0.0569,0,Vermont,VT
16321,16902,2020-05-01,581,0.0344,0,Virginia,VA
13813,14637,2020-05-01,824,0.0563,0,Washington,WA
1106,1152,2020-05-01,46,0.0399,0,West Virginia,WV
6987,7314,2020-05-01,327,0.0447,0,Wisconsin,WI
559,566,2020-05-01,7,0.0124,0,Wyoming,WY
10890,11373,2020-05-15,483,0.0425,0,Alabama,AL
378,388,2020-05-15,10,0.0258,0,Alaska,AK
12518,13169,2020-05-15,651,0.0494,0,Arizona,AZ
4365,4463,2020-05-15,98,0.022,0,Arkansas,AR
73557,76693,2020-05-15,3136,0.0409,0,California,CA
20082,21232,2020-05-15,1150,0.0542,0,Colorado,CO
32800,36085,2020-05-15,3285,0.091,0,Connecticut,CT
7102,7373,2020-05-15,271,0.0368,0,Delaware,DE
42221,44138,2020-05-15,1917,0.0434,0,Florida,FL
35184,36772,2020-05-15,1588,0.0432,0,Georgia,GA
621,638,2020-05-15,17,0.0266,0,Hawaii,HI
2279,2351,2020-05-15,72,0.0306,0,Idaho,ID
86310,90369,2020-05-15,4059,0.0449,0,Illinois,IL
24965,26656,2020-05-15,1691,0.0634,0,Indiana,IN
13713,14049,2020-05-15,336,0.0239,0,Iowa,IA
7693,7886,2020-05-15,193,0.0245,0,Kansas,KS
7112,7444,2020-05-15,332,0.0446,0,Kentucky,KY
31389,33837,2020-05-15,2448,0.0723,0,Louisiana,LA
1534,1603,2020-05-15,69,0.043,0,Maine,ME
35075,36986,2020-05-15,1911,0.0517,0,Maryland,MD
77829,83421,2020-05-15,5592,0.067,0,Massachusetts,MA
45254,50079,2020-05-15,4825,0.0963,0,Michigan,MI
